,PCR_id,band,cap_date,band_cap_date,site,coordinates,bander,ticks,blood,recap,species,speciessci,speciescode,massg,billmm,tarsusmm,wingmm,field_sex,PCR_sex,age,slides,hemo.positive,plasm.positive,leuko.positive,resident_migrant,notes,body_condition,ticks_present
1,1.31-01,142259005,1/24/2024,142259005_2024-01-24,Casa De San Pedro,"31.40859, -110.10635",HAD,1,y,n,Abert's towhee,Melozone aberti,ABTO,50.04,10.1,29.77,90,M,M,AHY,y,no,no,no,resident,,48.01217352,yes
2,1.31-02,323133809,1/24/2024,323133809_2024-01-24,Casa De San Pedro,"31.40859, -110.10635",HAD,2,y,n,Abert's towhee,Melozone aberti,ABTO,48.97,10.39,30.07,89,U,M,AHY,y,no,no,no,resident,,45.88720413,yes
3,1.31-03,323133808,1/24/2024,323133808_2024-01-24,Casa De San Pedro,"31.40859, -110.10635",HAD,2,y,n,Abert's towhee,Melozone aberti,ABTO,50.74,10.8,29.7,92,M,M,AHY,y,no,no,no,resident,,48.95492125,yes
4,1.31-04,323133810,1/31/2024,323133810_2024-01-31,Paton Center,"31.53888, -110.76047",HAD,7,y,n,Abert's towhee,Melozone aberti,ABTO,47.9,10.61,28.38,88,U,F,AHY,y,no,yes,no,resident,,51.44676053,yes
5,1.31-05,323133811,1/31/2024,323133811_2024-01-31,Paton Center,"31.53888, -110.76047",HAD,4,y,n,Abert's towhee,Melozone aberti,ABTO,50.76,10.68,28.94,92,M,M,AHY,y,no,yes,no,resident,,52.06251818,yes
6,1.31-06,323133812,1/31/2024,323133812_2024-01-31,Paton Center,"31.53888, -110.76047",HAD,4,y,n,Abert's towhee,Melozone aberti,ABTO,47.32,10.55,28.87,89,U,M,AHY,y,no,yes,no,resident,,48.81231165,yes
7,1.31-07,284165004,2/14/2024,284165004_2024-02-14,Sweetwater Wetlands,"32.27930, -111.02163",HAD,0,y,n,Abert's towhee,Melozone aberti,ABTO,48.6,10.2,28.07,93,M,M,AHY,y,no,yes,no,resident,,53.56871932,no
8,1.31-08,284165003,2/14/2024,284165003_2024-02-14,Sweetwater Wetlands,"32.27930, -111.02163",HAD,0,y,n,Abert's towhee,Melozone aberti,ABTO,42.59,10.31,28.17,85,U,F,SY,y,no,yes,no,resident,,46.55210065,no
9,1.31-09,323133822,2/17/2024,323133822_2024-02-17,Casa De San Pedro,"31.40859, -110.10635",HAD,1,y,n,Abert's towhee,Melozone aberti,ABTO,43.13,10.69,29.67,90,U,M,AHY,y,no,yes,no,resident,,41.71197298,yes
10,1.31-11,142259021,2/28/2024,142259021_2024-02-28,Sweetwater Wetlands,"32.27930, -111.02163",DNJ,0,y,n,Abert's towhee,Melozone aberti,ABTO,49.7,10.78,30.06,94,M,,AHY,y,no,yes,no,resident,,46.60780463,no
